failure_id,machine_id,failure_date,failure_mode,downtime_hrs,repair_hrs,technician_id,root_cause,corrective_action,component,failure_type,technician_type,part_replaced,part_cost_usd,part_lead_time_days,time_to_diagnose_hrs
F00580,AS-A6,2024-09-04,Electrical short,0.65,0.64,TECH-002,Design limitation,Recalibration,electrical_panel,electrical,electrical,circuit_breaker,66.81,3,0.15
F00581,AS-A6,2024-09-18,Torque tool calibration,1.0,0.63,TECH-003,Component wear,Recalibration,torque_system,software,automation,torque_transducer,369.15,7,0.3
F00582,AS-A6,2024-09-20,Fixture misalignment,0.91,0.62,TECH-001,Calibration drift,Vendor notified,fixture_system,mechanical,mechanical,fixture_pin_set,140.55,3,0.13
F00583,AS-A6,2024-09-28,Pneumatic leak,0.82,0.75,TECH-004,Calibration drift,PM schedule updated,pneumatic_system,hydraulic,hydraulic,pneumatic_fitting,14.72,1,0.07
F00584,AS-A6,2024-10-02,Sensor fault,0.77,0.61,TECH-002,Material defect,PM schedule updated,sensor_package,electrical,electrical,proximity_sensor,120.49,2,0.17
F00585,AS-A6,2024-10-09,Electrical short,0.69,0.88,TECH-003,Contamination,PM schedule updated,electrical_panel,electrical,electrical,circuit_breaker,75.79,1,0.21
F00586,AS-A6,2024-11-12,Fixture misalignment,0.93,0.81,TECH-007,Design limitation,PM schedule updated,fixture_system,mechanical,mechanical,fixture_pin_set,85.9,3,0.2
F00587,AS-A6,2024-11-13,Torque tool calibration,0.79,0.41,TECH-008,Contamination,PM schedule updated,torque_system,software,automation,torque_transducer,336.58,3,0.14
F00588,AS-A6,2024-11-20,Pneumatic leak,1.07,0.83,TECH-005,Component wear,Design modification,pneumatic_system,hydraulic,hydraulic,pneumatic_fitting,33.66,1,0.06
F00589,AS-A6,2024-11-22,Pneumatic leak,0.81,0.5,TECH-001,Lack of preventive maintenance,Design modification,pneumatic_system,hydraulic,hydraulic,pneumatic_fitting,40.1,2,0.03
F00590,AS-A6,2024-12-01,Pneumatic leak,0.86,0.6,TECH-005,Calibration drift,Vendor notified,pneumatic_system,hydraulic,hydraulic,pneumatic_fitting,26.93,1,0.06
F00591,AS-A6,2024-12-17,Electrical short,0.74,0.77,TECH-005,Component wear,Operator retraining,electrical_panel,electrical,electrical,circuit_breaker,59.51,3,0.31
F00592,AS-A6,2024-12-24,Pneumatic leak,1.01,0.77,TECH-004,Component wear,Design modification,pneumatic_system,hydraulic,hydraulic,pneumatic_fitting,26.59,1,0.08
F00593,AS-A6,2024-12-25,Electrical short,0.99,0.85,TECH-003,Calibration drift,PM schedule updated,electrical_panel,electrical,electrical,circuit_breaker,54.15,3,0.27
F00594,AS-A6,2024-12-26,Sensor fault,0.85,0.6,TECH-006,Material defect,Part replacement,sensor_package,electrical,electrical,proximity_sensor,60.92,2,0.2
F00595,AS-A6,2025-01-06,Torque tool calibration,0.5,0.67,TECH-008,Calibration drift,Part replacement,torque_system,software,automation,torque_transducer,177.96,5,0.26
F00596,AS-A6,2025-01-07,Electrical short,0.78,0.65,TECH-005,Design limitation,Design modification,electrical_panel,electrical,electrical,circuit_breaker,83.6,3,0.19
F00597,AS-A6,2025-01-15,Sensor fault,0.98,0.88,TECH-002,Design limitation,Operator retraining,sensor_package,electrical,electrical,proximity_sensor,47.01,5,0.29
F00598,AS-A6,2025-02-22,Sensor fault,0.88,0.84,TECH-008,Calibration drift,Design modification,sensor_package,electrical,electrical,proximity_sensor,106.89,5,0.24
F00599,AS-A6,2025-02-23,Fixture misalignment,1.01,0.6,TECH-002,Design limitation,Recalibration,fixture_system,mechanical,mechanical,fixture_pin_set,113.5,2,0.15
F00600,AS-A6,2025-02-24,Pneumatic leak,1.0,0.86,TECH-004,Overloading,PM schedule updated,pneumatic_system,hydraulic,hydraulic,pneumatic_fitting,22.43,2,0.1
F00601,AS-A6,2025-03-09,Fixture misalignment,0.6,0.72,TECH-003,Overloading,Part replacement,fixture_system,mechanical,mechanical,fixture_pin_set,116.45,4,0.15
F00602,AS-A6,2025-03-12,Fixture misalignment,1.04,0.84,TECH-001,Component wear,Part replacement,fixture_system,mechanical,mechanical,fixture_pin_set,94.98,4,0.23
F00603,AS-A6,2025-03-13,Torque tool calibration,1.06,0.62,TECH-001,Design limitation,Part replacement,torque_system,software,automation,torque_transducer,293.97,3,0.24
F00604,AS-A6,2025-03-15,Torque tool calibration,0.65,0.6,TECH-003,Material defect,Operator retraining,torque_system,software,automation,torque_transducer,219.95,6,0.27
F00605,AS-A6,2025-03-24,Fixture misalignment,0.95,0.45,TECH-005,Component wear,Vendor notified,fixture_system,mechanical,mechanical,fixture_pin_set,69.41,3,0.11
F00606,AS-A6,2025-04-05,Pneumatic leak,1.09,0.61,TECH-004,Overloading,Operator retraining,pneumatic_system,hydraulic,hydraulic,pneumatic_fitting,34.42,1,0.09
F00607,AS-A6,2025-04-06,Electrical short,1.09,0.72,TECH-007,Component wear,Design modification,electrical_panel,electrical,electrical,circuit_breaker,44.9,2,0.28
F00608,AS-A6,2025-04-07,Pneumatic leak,0.55,0.73,TECH-002,Operator error,Operator retraining,pneumatic_system,hydraulic,hydraulic,pneumatic_fitting,16.63,1,0.05
F00609,AS-A6,2025-04-18,Pneumatic leak,1.05,0.6,TECH-007,Overloading,PM schedule updated,pneumatic_system,hydraulic,hydraulic,pneumatic_fitting,20.74,1,0.08
F00610,AS-A7,2024-01-13,Torque tool calibration,0.5,1.08,TECH-007,Contamination,Design modification,torque_system,software,automation,torque_transducer,358.94,5,0.48
F00611,AS-A7,2024-01-29,Electrical short,1.51,0.71,TECH-002,Overloading,Recalibration,electrical_panel,electrical,electrical,circuit_breaker,38.86,3,0.21
F00612,AS-A7,2024-01-31,Pneumatic leak,1.14,0.51,TECH-005,Overloading,PM schedule updated,pneumatic_system,hydraulic,hydraulic,pneumatic_fitting,16.42,1,0.04
F00613,AS-A7,2024-02-02,Electrical short,0.96,0.59,TECH-002,Lack of preventive maintenance,Operator retraining,electrical_panel,electrical,electrical,circuit_breaker,47.12,2,0.18
F00614,AS-A7,2024-02-12,Sensor fault,0.99,0.75,TECH-002,Component wear,Operator retraining,sensor_package,electrical,electrical,proximity_sensor,100.52,2,0.16
F00615,AS-A7,2024-02-22,Torque tool calibration,1.07,1.25,TECH-006,Design limitation,Vendor notified,torque_system,software,automation,torque_transducer,287.69,4,0.56
F00616,AS-A7,2024-02-27,Electrical short,1.18,1.12,TECH-008,Component wear,PM schedule updated,electrical_panel,electrical,electrical,circuit_breaker,78.53,3,0.32
F00617,AS-A7,2024-03-06,Electrical short,0.5,0.95,TECH-006,Overloading,Vendor notified,electrical_panel,electrical,electrical,circuit_breaker,78.87,1,0.26
F00618,AS-A7,2024-03-07,Fixture misalignment,1.17,0.83,TECH-008,Component wear,Part replacement,fixture_system,mechanical,mechanical,fixture_pin_set,73.34,2,0.18
F00619,AS-A7,2024-03-09,Electrical short,0.88,1.0,TECH-001,Component wear,Operator retraining,electrical_panel,electrical,electrical,circuit_breaker,52.31,3,0.35
F00620,AS-A7,2024-04-12,Fixture misalignment,1.2,0.9,TECH-008,Overloading,Part replacement,fixture_system,mechanical,mechanical,fixture_pin_set,85.3,2,0.17
F00621,AS-A7,2024-04-13,Pneumatic leak,1.1,0.97,TECH-007,Overloading,Design modification,pneumatic_system,hydraulic,hydraulic,pneumatic_fitting,15.93,1,0.08
F00622,AS-A7,2024-04-23,Pneumatic leak,0.92,1.35,TECH-003,Calibration drift,Operator retraining,pneumatic_system,hydraulic,hydraulic,pneumatic_fitting,23.08,1,0.1
F00623,AS-A7,2024-04-24,Electrical short,1.45,0.56,TECH-005,Material defect,Part replacement,electrical_panel,electrical,electrical,circuit_breaker,75.32,1,0.17
F00624,AS-A7,2024-05-09,Electrical short,0.66,0.88,TECH-003,Lack of preventive maintenance,PM schedule updated,electrical_panel,electrical,electrical,circuit_breaker,67.87,3,0.33
F00625,AS-A7,2024-05-11,Sensor fault,1.24,0.9,TECH-007,Contamination,Vendor notified,sensor_package,electrical,electrical,proximity_sensor,124.9,3,0.34
F00626,AS-A7,2024-05-16,Pneumatic leak,0.8,0.79,TECH-002,Design limitation,Vendor notified,pneumatic_system,hydraulic,hydraulic,pneumatic_fitting,39.26,2,0.1
F00627,AS-A7,2024-06-03,Sensor fault,1.29,0.82,TECH-004,Material defect,Operator retraining,sensor_package,electrical,electrical,proximity_sensor,80.26,5,0.17
F00628,AS-A7,2024-06-30,Torque tool calibration,0.89,0.84,TECH-002,Operator error,Design modification,torque_system,software,automation,torque_transducer,286.69,3,0.34
F00629,AS-A7,2024-07-03,Sensor fault,1.54,0.79,TECH-005,Calibration drift,Operator retraining,sensor_package,electrical,electrical,proximity_sensor,75.81,3,0.25
F00630,AS-A7,2024-07-11,Torque tool calibration,1.14,0.6,TECH-008,Lack of preventive maintenance,Operator retraining,torque_system,software,automation,torque_transducer,378.34,5,0.19
F00631,AS-A7,2024-07-12,Fixture misalignment,1.43,1.01,TECH-004,Contamination,Operator retraining,fixture_system,mechanical,mechanical,fixture_pin_set,77.59,2,0.28
F00632,AS-A7,2024-08-12,Sensor fault,1.04,0.9,TECH-004,Design limitation,Part replacement,sensor_package,electrical,electrical,proximity_sensor,124.57,5,0.34
F00633,AS-A7,2024-08-17,Electrical short,1.08,0.74,TECH-003,Calibration drift,PM schedule updated,electrical_panel,electrical,electrical,circuit_breaker,83.17,1,0.21
F00634,AS-A7,2024-08-21,Fixture misalignment,1.25,0.81,TECH-008,Material defect,Recalibration,fixture_system,mechanical,mechanical,fixture_pin_set,81.32,2,0.2
F00635,AS-A7,2024-09-03,Fixture misalignment,1.21,0.81,TECH-004,Contamination,Recalibration,fixture_system,mechanical,mechanical,fixture_pin_set,139.68,3,0.19
F00636,AS-A7,2024-09-18,Torque tool calibration,1.16,0.95,TECH-001,Lack of preventive maintenance,Operator retraining,torque_system,software,automation,torque_transducer,240.56,4,0.32
F00637,AS-A7,2024-09-22,Electrical short,0.85,1.25,TECH-005,Calibration drift,Recalibration,electrical_panel,electrical,electrical,circuit_breaker,40.1,3,0.49
F00638,AS-A7,2024-11-03,Fixture misalignment,1.27,0.83,TECH-003,Lack of preventive maintenance,Design modification,fixture_system,mechanical,mechanical,fixture_pin_set,93.05,2,0.23
F00639,AS-A7,2024-11-19,Electrical short,0.75,0.93,TECH-006,Overloading,Vendor notified,electrical_panel,electrical,electrical,circuit_breaker,70.24,3,0.22
F00640,AS-A7,2024-12-04,Electrical short,0.95,0.92,TECH-008,Contamination,Vendor notified,electrical_panel,electrical,electrical,circuit_breaker,78.34,1,0.23
F00641,AS-A7,2024-12-05,Pneumatic leak,0.96,0.74,TECH-006,Contamination,Design modification,pneumatic_system,hydraulic,hydraulic,pneumatic_fitting,39.4,2,0.09
F00642,AS-A7,2024-12-25,Sensor fault,1.16,1.03,TECH-008,Contamination,PM schedule updated,sensor_package,electrical,electrical,proximity_sensor,109.6,2,0.25
F00643,AS-A7,2024-12-27,Sensor fault,0.83,0.99,TECH-006,Overloading,PM schedule updated,sensor_package,electrical,electrical,proximity_sensor,64.93,3,0.25
F00644,AS-A7,2025-01-02,Fixture misalignment,0.5,0.68,TECH-002,Design limitation,Recalibration,fixture_system,mechanical,mechanical,fixture_pin_set,95.41,4,0.15
F00645,AS-A7,2025-01-10,Fixture misalignment,1.19,0.81,TECH-008,Lack of preventive maintenance,Recalibration,fixture_system,mechanical,mechanical,fixture_pin_set,80.01,4,0.22
F00646,AS-A7,2025-01-15,Electrical short,1.46,1.18,TECH-006,Calibration drift,PM schedule updated,electrical_panel,electrical,electrical,circuit_breaker,51.46,3,0.43
F00647,AS-A7,2025-01-17,Pneumatic leak,1.13,0.86,TECH-003,Lack of preventive maintenance,Recalibration,pneumatic_system,hydraulic,hydraulic,pneumatic_fitting,18.39,2,0.09
F00648,AS-A7,2025-02-03,Torque tool calibration,0.7,0.94,TECH-006,Design limitation,PM schedule updated,torque_system,software,automation,torque_transducer,418.49,3,0.29
F00649,AS-A7,2025-02-07,Sensor fault,0.62,0.78,TECH-001,Overloading,Part replacement,sensor_package,electrical,electrical,proximity_sensor,59.26,5,0.28
F00650,AS-A7,2025-02-11,Electrical short,0.92,0.68,TECH-003,Design limitation,PM schedule updated,electrical_panel,electrical,electrical,circuit_breaker,33.52,2,0.19
F00651,AS-A7,2025-02-15,Torque tool calibration,0.61,0.88,TECH-002,Overloading,Design modification,torque_system,software,automation,torque_transducer,355.5,3,0.3
F00652,AS-A7,2025-02-18,Fixture misalignment,0.98,0.83,TECH-006,Overloading,Vendor notified,fixture_system,mechanical,mechanical,fixture_pin_set,75.01,3,0.18
F00653,AS-A7,2025-02-27,Pneumatic leak,0.59,1.12,TECH-003,Contamination,Recalibration,pneumatic_system,hydraulic,hydraulic,pneumatic_fitting,26.38,2,0.13
F00654,AS-A7,2025-03-02,Electrical short,0.84,0.67,TECH-007,Design limitation,Operator retraining,electrical_panel,electrical,electrical,circuit_breaker,70.8,3,0.27
F00655,AS-A7,2025-03-17,Electrical short,1.5,0.79,TECH-008,Overloading,Recalibration,electrical_panel,electrical,electrical,circuit_breaker,53.53,2,0.3
F00656,AS-A7,2025-03-19,Sensor fault,1.51,0.94,TECH-002,Material defect,Recalibration,sensor_package,electrical,electrical,proximity_sensor,62.41,3,0.33
F00657,AS-A7,2025-03-24,Torque tool calibration,1.6,1.14,TECH-001,Lack of preventive maintenance,Operator retraining,torque_system,software,automation,torque_transducer,357.42,7,0.45
F00658,AS-A7,2025-03-31,Electrical short,1.21,0.9,TECH-003,Operator error,Vendor notified,electrical_panel,electrical,electrical,circuit_breaker,40.43,1,0.21
F00659,AS-A7,2025-04-27,Sensor fault,0.93,0.98,TECH-008,Component wear,Recalibration,sensor_package,electrical,electrical,proximity_sensor,80.5,2,0.35
F00660,AS-A8,2024-01-02,Sensor fault,1.18,0.83,TECH-008,Calibration drift,Design modification,sensor_package,electrical,electrical,proximity_sensor,117.33,3,0.3
F00661,AS-A8,2024-01-31,Electrical short,0.84,0.77,TECH-003,Calibration drift,Vendor notified,electrical_panel,electrical,electrical,circuit_breaker,44.49,2,0.19
F00662,AS-A8,2024-02-14,Electrical short,1.14,0.68,TECH-005,Contamination,Operator retraining,electrical_panel,electrical,electrical,circuit_breaker,36.37,1,0.26
F00663,AS-A8,2024-02-22,Sensor fault,1.05,0.64,TECH-007,Design limitation,Recalibration,sensor_package,electrical,electrical,proximity_sensor,75.37,5,0.24
F00664,AS-A8,2024-02-25,Fixture misalignment,1.4,0.8,TECH-006,Design limitation,Operator retraining,fixture_system,mechanical,mechanical,fixture_pin_set,92.73,2,0.12
F00665,AS-A8,2024-03-04,Torque tool calibration,0.85,0.63,TECH-005,Lack of preventive maintenance,Operator retraining,torque_system,software,automation,torque_transducer,206.3,6,0.29
F00666,AS-A8,2024-03-20,Electrical short,0.61,0.64,TECH-006,Material defect,Operator retraining,electrical_panel,electrical,electrical,circuit_breaker,41.08,2,0.25
F00667,AS-A8,2024-04-11,Torque tool calibration,0.79,0.85,TECH-007,Material defect,PM schedule updated,torque_system,software,automation,torque_transducer,382.0,4,0.29
F00668,AS-A8,2024-04-12,Electrical short,0.76,0.66,TECH-005,Design limitation,Vendor notified,electrical_panel,electrical,electrical,circuit_breaker,31.13,3,0.25
F00669,AS-A8,2024-04-26,Pneumatic leak,1.05,0.65,TECH-003,Component wear,PM schedule updated,pneumatic_system,hydraulic,hydraulic,pneumatic_fitting,21.17,1,0.08
F00670,AS-A8,2024-04-27,Electrical short,0.71,0.85,TECH-008,Material defect,PM schedule updated,electrical_panel,electrical,electrical,circuit_breaker,35.95,2,0.3
F00671,AS-A8,2024-04-28,Fixture misalignment,1.24,0.86,TECH-002,Design limitation,PM schedule updated,fixture_system,mechanical,mechanical,fixture_pin_set,139.65,2,0.19
F00672,AS-A8,2024-04-29,Pneumatic leak,0.93,0.81,TECH-003,Lack of preventive maintenance,Operator retraining,pneumatic_system,hydraulic,hydraulic,pneumatic_fitting,38.3,2,0.08
F00673,AS-A8,2024-05-01,Torque tool calibration,0.59,0.93,TECH-006,Calibration drift,Vendor notified,torque_system,software,automation,torque_transducer,354.92,3,0.42
F00674,AS-A8,2024-05-17,Fixture misalignment,0.74,1.07,TECH-001,Design limitation,Operator retraining,fixture_system,mechanical,mechanical,fixture_pin_set,83.04,4,0.18
F00675,AS-A8,2024-05-18,Sensor fault,0.81,0.82,TECH-007,Lack of preventive maintenance,Part replacement,sensor_package,electrical,electrical,proximity_sensor,61.78,3,0.25
F00676,AS-A8,2024-06-26,Torque tool calibration,0.91,0.65,TECH-004,Lack of preventive maintenance,Recalibration,torque_system,software,automation,torque_transducer,313.57,5,0.25
F00677,AS-A8,2024-07-02,Fixture misalignment,1.0,0.61,TECH-008,Overloading,Vendor notified,fixture_system,mechanical,mechanical,fixture_pin_set,126.46,4,0.11
F00678,AS-A8,2024-08-05,Pneumatic leak,1.09,0.76,TECH-002,Design limitation,Operator retraining,pneumatic_system,hydraulic,hydraulic,pneumatic_fitting,34.1,2,0.09
F00679,AS-A8,2024-08-15,Fixture misalignment,1.12,1.12,TECH-002,Material defect,Vendor notified,fixture_system,mechanical,mechanical,fixture_pin_set,103.51,4,0.3
F00680,AS-A8,2024-08-21,Electrical short,1.38,0.83,TECH-002,Overloading,Recalibration,electrical_panel,electrical,electrical,circuit_breaker,87.56,1,0.29
F00681,AS-A8,2024-08-22,Torque tool calibration,1.37,0.87,TECH-003,Contamination,Part replacement,torque_system,software,automation,torque_transducer,399.05,3,0.32
F00682,AS-A8,2024-08-25,Sensor fault,0.59,0.8,TECH-001,Lack of preventive maintenance,PM schedule updated,sensor_package,electrical,electrical,proximity_sensor,94.97,5,0.24
F00683,AS-A8,2024-09-04,Fixture misalignment,0.83,0.53,TECH-008,Material defect,PM schedule updated,fixture_system,mechanical,mechanical,fixture_pin_set,143.84,2,0.11
F00684,AS-A8,2024-10-16,Torque tool calibration,1.06,0.54,TECH-004,Lack of preventive maintenance,Vendor notified,torque_system,software,automation,torque_transducer,388.26,3,0.19
F00685,AS-A8,2024-10-21,Pneumatic leak,0.93,0.68,TECH-008,Calibration drift,Design modification,pneumatic_system,hydraulic,hydraulic,pneumatic_fitting,35.63,2,0.1
F00686,AS-A8,2024-10-24,Fixture misalignment,0.91,0.7,TECH-006,Contamination,Vendor notified,fixture_system,mechanical,mechanical,fixture_pin_set,134.87,3,0.14
F00687,AS-A8,2024-10-30,Electrical short,1.18,0.64,TECH-003,Operator error,Design modification,electrical_panel,electrical,electrical,circuit_breaker,75.75,1,0.21
F00688,AS-A8,2024-10-31,Sensor fault,0.91,0.92,TECH-008,Lack of preventive maintenance,Vendor notified,sensor_package,electrical,electrical,proximity_sensor,96.65,3,0.34
F00689,AS-A8,2024-11-07,Electrical short,0.91,0.47,TECH-006,Material defect,PM schedule updated,electrical_panel,electrical,electrical,circuit_breaker,29.52,2,0.16
F00690,AS-A8,2024-11-20,Torque tool calibration,0.8,0.63,TECH-004,Calibration drift,Design modification,torque_system,software,automation,torque_transducer,308.7,4,0.25
F00691,AS-A8,2024-11-21,Sensor fault,0.91,0.96,TECH-002,Operator error,Design modification,sensor_package,electrical,electrical,proximity_sensor,46.58,3,0.36
F00692,AS-A8,2024-12-02,Fixture misalignment,1.5,0.9,TECH-001,Material defect,Part replacement,fixture_system,mechanical,mechanical,fixture_pin_set,60.69,3,0.19
F00693,AS-A8,2024-12-09,Torque tool calibration,1.21,0.92,TECH-008,Design limitation,Part replacement,torque_system,software,automation,torque_transducer,406.01,7,0.41
F00694,AS-A8,2024-12-13,Fixture misalignment,0.89,0.76,TECH-008,Operator error,Operator retraining,fixture_system,mechanical,mechanical,fixture_pin_set,80.41,2,0.21
F00695,AS-A8,2024-12-30,Torque tool calibration,1.24,0.88,TECH-006,Lack of preventive maintenance,Design modification,torque_system,software,automation,torque_transducer,355.25,6,0.3
F00696,AS-A8,2025-01-02,Sensor fault,1.05,0.82,TECH-002,Material defect,Design modification,sensor_package,electrical,electrical,proximity_sensor,86.1,5,0.29
F00697,AS-A8,2025-01-03,Fixture misalignment,0.91,0.61,TECH-004,Material defect,Design modification,fixture_system,mechanical,mechanical,fixture_pin_set,79.38,4,0.09
F00698,AS-A8,2025-01-13,Torque tool calibration,1.13,1.04,TECH-002,Contamination,Vendor notified,torque_system,software,automation,torque_transducer,409.42,4,0.46
F00699,AS-A8,2025-01-19,Fixture misalignment,0.71,0.51,TECH-003,Overloading,Design modification,fixture_system,mechanical,mechanical,fixture_pin_set,113.29,3,0.12
F00700,AS-A8,2025-01-23,Torque tool calibration,1.43,1.28,TECH-006,Contamination,Design modification,torque_system,software,automation,torque_transducer,286.41,6,0.5
F00701,AS-A8,2025-03-14,Torque tool calibration,0.86,0.94,TECH-006,Material defect,Design modification,torque_system,software,automation,torque_transducer,328.31,4,0.45
F00702,AS-A8,2025-03-22,Sensor fault,0.75,0.94,TECH-006,Calibration drift,Operator retraining,sensor_package,electrical,electrical,proximity_sensor,109.38,2,0.25
F00703,AS-A8,2025-04-25,Sensor fault,1.02,0.8,TECH-001,Component wear,PM schedule updated,sensor_package,electrical,electrical,proximity_sensor,90.02,2,0.32
F00704,AS-A8,2025-04-26,Sensor fault,1.13,0.79,TECH-001,Design limitation,Design modification,sensor_package,electrical,electrical,proximity_sensor,116.94,2,0.3
F00705,CNC-B1,2024-01-07,Axis calibration error,3.02,2.69,TECH-006,Component wear,Recalibration,servo_drive,software,automation,encoder_sensor,129.84,7,0.92
F00706,CNC-B1,2024-01-09,Coolant leak,3.85,2.53,TECH-005,Operator error,Design modification,coolant_system,hydraulic,hydraulic,coolant_pump_seal,33.58,1,0.28
F00707,CNC-B1,2024-01-12,Coolant leak,4.55,2.35,TECH-008,Component wear,Operator retraining,coolant_system,hydraulic,hydraulic,coolant_pump_seal,32.42,1,0.25
F00708,CNC-B1,2024-01-25,Tool breakage,2.95,2.12,TECH-005,Lack of preventive maintenance,Vendor notified,tool_changer,mechanical,mechanical,tool_insert_set,46.27,3,0.28
F00709,CNC-B1,2024-02-06,Coolant leak,2.28,3.46,TECH-006,Overloading,Operator retraining,coolant_system,hydraulic,hydraulic,coolant_pump_seal,63.97,1,0.56
F00710,CNC-B1,2024-02-25,Drive fault,4.41,3.46,TECH-001,Overloading,Part replacement,servo_drive,electrical,electrical,servo_driver_board,1111.63,12,1.31
F00711,CNC-B1,2024-02-27,Spindle fault,4.37,2.98,TECH-006,Material defect,Recalibration,spindle,mechanical,mechanical,spindle_bearing,255.75,8,0.65
F00712,CNC-B1,2024-02-28,Axis calibration error,3.26,2.24,TECH-002,Material defect,Operator retraining,servo_drive,software,automation,encoder_sensor,131.72,6,0.88
F00713,CNC-B1,2024-03-01,Tool breakage,3.01,2.98,TECH-008,Lack of preventive maintenance,Design modification,tool_changer,mechanical,mechanical,tool_insert_set,49.43,2,0.23
F00714,CNC-B1,2024-03-04,Spindle fault,4.21,3.14,TECH-003,Calibration drift,Design modification,spindle,mechanical,mechanical,spindle_bearing,159.92,7,0.59
F00715,CNC-B1,2024-03-05,Drive fault,2.49,3.25,TECH-004,Material defect,Part replacement,servo_drive,electrical,electrical,servo_driver_board,1081.55,11,1.26
F00716,CNC-B1,2024-03-07,Drive fault,2.2,3.16,TECH-002,Operator error,Vendor notified,servo_drive,electrical,electrical,servo_driver_board,1092.31,8,0.84
F00717,CNC-B1,2024-03-11,Coolant leak,3.0,3.07,TECH-001,Design limitation,Recalibration,coolant_system,hydraulic,hydraulic,coolant_pump_seal,75.43,1,0.37
F00718,CNC-B1,2024-04-12,Axis calibration error,1.46,1.66,TECH-003,Calibration drift,Part replacement,servo_drive,software,automation,encoder_sensor,178.0,4,0.8
F00719,CNC-B1,2024-05-01,Spindle fault,3.49,3.65,TECH-002,Operator error,Vendor notified,spindle,mechanical,mechanical,spindle_bearing,196.7,8,0.71
F00720,CNC-B1,2024-05-02,Coolant leak,5.18,2.4,TECH-001,Contamination,Vendor notified,coolant_system,hydraulic,hydraulic,coolant_pump_seal,62.37,2,0.39
F00721,CNC-B1,2024-05-14,Coolant leak,3.04,3.39,TECH-004,Material defect,Recalibration,coolant_system,hydraulic,hydraulic,coolant_pump_seal,65.84,1,0.38
F00722,CNC-B1,2024-05-19,Drive fault,3.36,2.09,TECH-003,Lack of preventive maintenance,Operator retraining,servo_drive,electrical,electrical,servo_driver_board,970.16,11,0.8
F00723,CNC-B1,2024-05-25,Spindle fault,3.23,2.66,TECH-001,Design limitation,Recalibration,spindle,mechanical,mechanical,spindle_bearing,297.47,6,0.58
F00724,CNC-B1,2024-06-05,Tool breakage,3.16,2.68,TECH-002,Overloading,Vendor notified,tool_changer,mechanical,mechanical,tool_insert_set,69.77,1,0.16
F00725,CNC-B1,2024-06-07,Tool breakage,4.1,2.14,TECH-001,Design limitation,Vendor notified,tool_changer,mechanical,mechanical,tool_insert_set,53.9,1,0.27
F00726,CNC-B1,2024-06-10,Tool breakage,4.35,2.72,TECH-006,Calibration drift,Design modification,tool_changer,mechanical,mechanical,tool_insert_set,55.15,2,0.36
F00727,CNC-B1,2024-06-15,Axis calibration error,3.75,3.41,TECH-001,Lack of preventive maintenance,Recalibration,servo_drive,software,automation,encoder_sensor,158.68,3,1.35
F00728,CNC-B1,2024-07-04,Spindle fault,3.03,3.41,TECH-001,Contamination,Vendor notified,spindle,mechanical,mechanical,spindle_bearing,249.79,7,0.83
F00729,CNC-B1,2024-07-07,Drive fault,2.92,2.51,TECH-005,Lack of preventive maintenance,Vendor notified,servo_drive,electrical,electrical,servo_driver_board,1145.98,14,0.89
F00730,CNC-B1,2024-07-09,Tool breakage,0.52,4.43,TECH-005,Material defect,Recalibration,tool_changer,mechanical,mechanical,tool_insert_set,86.17,2,0.55
F00731,CNC-B1,2024-07-12,Axis calibration error,3.0,2.99,TECH-004,Overloading,Recalibration,servo_drive,software,automation,encoder_sensor,94.7,5,1.18
F00732,CNC-B1,2024-07-18,Drive fault,2.71,3.02,TECH-006,Calibration drift,Design modification,servo_drive,electrical,electrical,servo_driver_board,1141.26,10,1.05
F00733,CNC-B1,2024-07-19,Spindle fault,2.72,2.2,TECH-003,Design limitation,Vendor notified,spindle,mechanical,mechanical,spindle_bearing,241.76,8,0.48
F00734,CNC-B1,2024-07-28,Spindle fault,2.91,2.76,TECH-003,Contamination,Part replacement,spindle,mechanical,mechanical,spindle_bearing,167.03,8,0.5
F00735,CNC-B1,2024-08-03,Coolant leak,3.76,2.71,TECH-003,Lack of preventive maintenance,PM schedule updated,coolant_system,hydraulic,hydraulic,coolant_pump_seal,33.9,2,0.39
F00736,CNC-B1,2024-08-18,Axis calibration error,2.62,3.1,TECH-005,Component wear,Recalibration,servo_drive,software,automation,encoder_sensor,188.85,3,1.38
F00737,CNC-B1,2024-08-19,Drive fault,3.93,3.67,TECH-005,Material defect,Design modification,servo_drive,electrical,electrical,servo_driver_board,474.11,7,1.03
F00738,CNC-B1,2024-08-20,Axis calibration error,3.06,2.31,TECH-003,Calibration drift,Vendor notified,servo_drive,software,automation,encoder_sensor,212.05,5,0.77
F00739,CNC-B1,2024-08-27,Axis calibration error,3.7,3.31,TECH-003,Component wear,Recalibration,servo_drive,software,automation,encoder_sensor,169.6,3,1.42
F00740,CNC-B1,2024-08-28,Coolant leak,1.5,3.6,TECH-007,Material defect,Vendor notified,coolant_system,hydraulic,hydraulic,coolant_pump_seal,53.56,1,0.63
F00741,CNC-B1,2024-09-05,Spindle fault,3.53,3.16,TECH-008,Calibration drift,Vendor notified,spindle,mechanical,mechanical,spindle_bearing,179.98,4,0.71
F00742,CNC-B1,2024-09-07,Axis calibration error,2.75,2.91,TECH-001,Overloading,Vendor notified,servo_drive,software,automation,encoder_sensor,187.07,7,1.37
